"","url","name","city","checkInDate","checkOutDate","price_2017.04.15","totalPrice_2017.04.15","price_2017-04-16","totalPrice_2017-04-16"
"120","/rooms/14263840?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Theatre Renovated Balcony 3mins MTR Wan Chai HKCEC","Hong-Kong","5/1/17","5/2/17",NA,NA,"762","1197"
"121","/rooms/17288490?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","2BR - Wan chai - Best location, great nightlife","Hong-Kong","5/1/17","5/2/17",855,1236,"855","1236"
"122","/rooms/2796097?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Y1. Mongkok Area,near Metro,Langham","Hong-Kong","5/1/17","5/2/17",801,902,"801","902"
"123","/rooms/14095096?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","1分鐘可到旺角地鐵站,免費無線上網,鄰近大小型購物商場,叧備有1-4人房","Hong-Kong","5/1/17","5/2/17",350,389,NA,"389"
"124","/rooms/11630153?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Heart of Hong Kong 2-Bdr LARGE Belcony MRT 3A","Hong-Kong","5/1/17","5/2/17",1003,1477,NA,"1384"
"125","/rooms/18088780?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Sunny & Spacious Twin Bed Room @TST for 2-3 pax","Hong-Kong","5/1/17","5/2/17",552,669,"552","669"
"126","/rooms/16145200?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Causeway Bay TimesSquare Artistic 铜锣湾时代广场卧房 Pony","Hong-Kong","5/1/17","5/2/17",451,560,"451","560"
"127","/rooms/13591147?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Wanchai 2BR High Flr w/ Rooftop,Sky Bar,Pool & Gym","Hong-Kong","5/1/17","5/2/17",1570,2270,"1570","2270"
"128","/rooms/15698386?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","SLEEEP - Minimalist Capsule Hotel in Sheung Wan","Hong-Kong","5/1/17","5/2/17",599,669,"599","669"
"129","/rooms/1634794?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Private room in Heart of Central, art of living","Hong-Kong","5/1/17","5/2/17",700,786,"700","786"
"130","/rooms/3853127?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Room in a modern apt, in cool spot","Hong-Kong","5/1/17","5/2/17",599,669,"599","669"
"131","/rooms/13643748?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Cozy Room for 2! 3min to MTR, 12min to Railway","Hong-Kong","5/1/17","5/2/17",451,575,"451","575"
"132","/rooms/11024580?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hung Hom - Standard Suite 3BR for 2-5 - 32A","Hong-Kong","5/1/17","5/2/17",700,1127,"700","1127"
"133","/rooms/7964582?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Fortune Inn Double bed Room 19 温馨大床房","Hong-Kong","5/1/17","5/2/17",435,489,"435","489"
"134","/rooms/18048058?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Lux High Flr,Incredible HB view, mins from TST MTR","Hong-Kong","5/1/17","5/2/17",1104,1633,"1104",NA
"135","/rooms/5587724?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Bed (5),4 beds female room女生房,CAlvin-3 Mins to MTR","Hong-Kong","5/1/17","5/2/17",109,125,"109","125"
"136","/rooms/13523745?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Great en-suite bedroom in the heart of Hong Kong","Hong-Kong","5/1/17","5/2/17",575,762,"575","762"
"137","/rooms/13830298?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Single room (shared bathroom) (2) 單人房","Hong-Kong","5/1/17","5/2/17",241,272,NA,"272"
